date,time,latitude,longitude,depth,magnitude,magtype
2016-02-12,05:31:08,71.53,129.05,6.0,2.4,M
2016-02-12,05:37:18,71.64,129.05,5.0,1.8,M
2016-02-13,22:35:19,70.18,137.65,16.0,2.1,M
2016-02-14,19:09:14,70.14,129.32,18.0,2.1,M
2016-02-20,18:22:24,74.38,133.3,17.0,2.3,M
2016-02-21,03:56:46,74.42,133.05,29.0,2.4,M
2016-03-05,05:31:10,74.19,132.38,10.0,2.3,M
2016-03-09,19:05:06,74.07,133.76,10.0,2.5,M
2016-03-22,17:01:24,71.97,126.94,11.0,2.3,M
2016-03-26,14:36:27,72.56,126.01,29.0,1.9,M
2016-03-29,15:46:11,70.45,133.91,6.0,2.1,M
2016-03-30,11:20:07,71.43,130.52,21.0,2.9,M
2016-04-15,06:21:20,72.84,126.58,10.0,2.7,M
2016-04-15,14:06:31,72.74,134.93,10.0,2.0,M
2016-04-24,19:00:07,72.45,132.28,18.0,1.8,M
2016-05-28,07:27:03,70.15,146.04,10.0,1.8,M
2016-06-08,22:25:20,72.19,130.07,2.0,1.8,M
2016-06-09,17:03:50,70.16,137.94,10.0,1.9,M
2016-07-23,11:03:45,70.55,131.9,10.0,2.6,M
2016-07-26,12:21:41,71.84,130.36,15.0,2.1,M
2016-08-19,09:59:27,71.54,129.25,36.0,4.0,M
2016-08-20,15:06:15,71.89,129.85,15.0,2.4,M
2016-08-20,19:04:45,72.16,126.53,15.0,1.9,M
2016-08-23,06:52:09,70.77,129.75,25.0,2.4,M
2016-08-24,15:10:25,71.53,130.6,15.0,2.1,M
2016-08-30,02:36:23,72.1,132.57,15.0,2.4,M
2016-08-31,15:54:20,71.71,132.15,27.0,1.9,M
2016-09-04,15:37:45,72.32,122.78,20.0,2.6,M
2016-09-14,15:10:31,71.37,131.53,25.0,1.8,M
2016-10-30,13:22:39,72.52,126.41,,2.1,M
2016-11-05,06:29:07,72.3,129.79,19.0,1.9,M
2016-11-05,08:03:34,72.3,129.77,10.0,1.8,M
2016-11-05,10:32:46,72.28,129.64,10.0,1.9,M
2016-11-17,03:48:02,73.06,126.6,30.0,1.9,M
2016-11-24,15:03:07,75.74,127.79,10.0,2.8,M
2016-11-24,22:48:38,72.49,124.47,10.0,2.2,M
2016-11-24,22:50:44,72.42,124.3,10.0,3.1,M
2016-11-24,23:02:57,72.53,124.48,10.0,2.4,M
2016-11-25,00:19:24,72.58,124.5,10.0,2.3,M
2016-11-25,02:19:30,72.55,124.8,10.0,1.9,M
2016-11-25,02:47:36,72.54,124.61,10.0,1.8,M
2016-11-25,05:17:28,73.0,126.66,10.0,2.4,M
2016-11-25,05:53:38,72.43,124.65,10.0,2.2,M
2016-11-25,06:19:02,72.5,124.84,10.0,2.5,M
2016-11-28,13:02:08,73.32,116.53,10.0,2.3,M
2016-12-01,21:54:08,70.05,129.29,10.0,2.0,M
2016-12-10,01:45:37,74.47,133.18,21.0,2.7,M
2017-01-14,18:58:38,70.63,139.03,10.0,1.8,M
2017-01-30,09:15:04,70.61,146.09,12.0,2.3,M
2017-02-08,15:02:28,70.84,139.98,12.0,2.1,M
2017-02-08,20:25:10,70.87,140.11,12.0,1.8,M
2017-02-11,10:57:12,72.04,127.79,10.0,1.9,M
2017-02-13,03:18:54,70.33,141.46,10.0,2.2,M
2017-02-26,23:37:23,73.26,125.48,10.0,1.9,M
2017-03-01,22:42:36,72.64,125.34,14.0,2.7,M
2017-03-02,13:59:57,72.71,124.8,20.0,1.8,M
2017-03-02,23:35:19,71.93,130.3,14.0,2.3,M
2017-03-04,15:48:47,71.34,131.1,26.0,1.9,M
2017-03-04,21:35:01,72.68,124.73,26.0,2.3,M
2017-03-07,04:47:20,72.68,125.07,10.0,2.0,M
2017-03-09,17:39:23,70.35,128.05,10.0,2.2,M
2017-03-12,04:16:39,71.96,128.05,15.0,2.0,M
2017-03-12,07:59:39,70.1,127.46,15.0,2.1,M
2017-03-14,03:02:01,72.64,128.01,15.0,2.7,M
2017-03-14,04:47:04,72.18,127.2,15.0,2.2,M
2017-03-19,08:57:59,71.64,129.26,2.0,2.3,M
2017-03-19,09:18:08,71.63,129.16,3.0,2.1,M
2017-03-19,10:21:16,71.65,129.27,2.0,1.8,M
2017-03-21,14:02:55,71.65,129.25,3.0,1.8,M
2017-03-27,09:46:32,71.65,129.3,2.0,2.2,M
2017-04-08,10:04:44,72.58,124.88,10.0,2.0,M
2017-04-09,08:56:47,73.27,128.55,29.0,2.1,M
2017-04-16,18:21:04,72.9,125.22,10.0,2.4,M
2017-04-18,15:00:11,72.86,124.96,10.0,2.0,M
2017-05-05,17:34:11,71.56,130.67,10.0,1.8,M
2017-05-06,18:37:39,72.5,125.48,10.0,2.3,M
2017-06-09,17:36:15,71.38,137.95,10.0,2.5,M
2017-07-08,17:05:17,71.83,130.18,10.0,2.1,M
2017-07-15,19:18:11,72.07,131.66,10.0,1.8,M
2017-09-14,08:24:51,71.99,128.0,10.0,1.8,M
2017-10-02,16:22:25,71.62,129.15,5.0,2.4,M
2017-10-12,17:34:23,72.4,144.92,15.0,2.7,M
2017-10-28,10:11:46,71.66,126.99,10.0,2.9,M
2017-11-15,09:55:31,70.07,138.86,19.0,2.1,M
2017-11-30,21:24:12,71.2,131.71,21.0,3.2,M
