longitude,latitude,magnitude
123.7382,72.7673,1.5
123.58,72.71,1.9
123.715,72.6101,2.7
123.6,72.63,1.8
124.33,73.1,3.0
124.01,72.93,2.3
123.7142,72.837,1.3
123.188,72.9136,1.1
136.8352,71.7502,2.0
130.77,70.15,1.8
125.02,72.54,2.1
123.5946,72.5649,1.0
138.3439,70.7075,1.5
130.0121,72.1493,1.8
130.91,71.0,2.0
125.5177,72.2949,0.8
131.9216,71.3684,1.6
140.0522,70.8144,4.71
140.1187,70.8129,1.4
139.9579,70.7956,2.2
133.37,74.92,3.0
126.21,72.93,2.5
137.765,70.8612,2.9
125.32,70.243,1.5
134.23,74.5,2.4
125.0144,72.8929,2.2
125.8323,78.5264,4.82
136.2175,70.8805,1.7
130.83,71.51,2.9
134.3834,72.146,1.6
126.3882,72.1988,1.4
125.8371,77.2387,3.41
135.2059,72.4049,1.4
134.67,73.26,2.2
134.84,72.41,2.2
124.72,72.5,2.4
124.67,72.47,2.4
130.56,71.34,2.3
130.63,73.3,2.9
137.79,74.34,2.3
129.51,73.08,2.1
130.4642,74.2143,4.4
128.84,70.79,3.0
132.4183,77.2041,3.57
137.33,70.76,1.8
137.64,70.98,1.9
131.26,73.28,2.1
132.18,70.24,2.3
142.48,70.05,2.1
127.98,70.1,2.3
127.99,72.21,2.3
137.84,71.54,1.9
124.91,71.87,2.5
138.1004,70.0176,3.97
138.18,70.01,2.3
125.08,72.92,1.9
132.97,74.16,2.3
133.85,74.49,2.3
123.11,72.35,2.4
111.97,74.6,4.1
132.86,71.6,2.0
133.4,72.4,2.1
133.74,72.3,2.1
122.66,72.75,2.0
130.82,71.49,2.5
116.36,74.16,2.4
123.62,72.6,2.5
116.94,73.74,2.4
127.8,75.6,2.6
132.4,74.01,2.6
140.02,71.21,2.1
137.09,70.67,2.4
136.93,74.53,3.1
131.99,70.05,1.8
127.96,72.19,2.4
126.25,72.2,2.0
128.3024,70.2498,4.6
132.25,72.66,2.4
128.98,71.96,2.1
134.0855,74.8326,4.3
129.43,70.83,2.2
122.87,72.5,2.3
127.04,73.73,1.9
116.64,73.19,2.0
143.28,72.12,2.2
141.96,71.79,2.1
143.36,73.31,2.7
139.69,70.76,1.8
144.5,73.16,2.4
126.65,73.49,1.8
117.49,73.43,2.7
137.05,74.18,2.4
131.22,75.92,2.7
134.52,75.56,2.7
136.01,74.28,2.3
127.66,75.81,2.3
116.8,72.62,2.6
142.49,71.14,3.0
131.85,73.2,2.1
124.7,72.33,2.4
130.57,71.72,2.2
131.81,74.3,1.9
127.98,72.07,2.4
129.16,71.92,2.2
125.67,72.25,2.1
127.45,71.74,1.8
129.05,71.53,2.4
129.05,71.64,1.8
137.65,70.18,2.1
129.32,70.14,2.1
133.3,74.38,2.3
133.05,74.42,2.4
132.38,74.19,2.3
134.511,74.8268,4.0
126.94,71.97,2.3
126.01,72.56,1.9
133.91,70.45,2.1
130.52,71.43,2.9
126.58,72.84,2.7
134.93,72.74,2.0
132.28,72.45,1.8
146.04,70.15,1.8
130.07,72.19,1.8
137.94,70.16,1.9
132.6589,74.545,3.62
131.9,70.55,2.6
130.36,71.84,2.1
114.5735,73.9196,3.6
129.25,71.54,4.0
129.85,71.89,2.4
126.53,72.16,1.9
129.75,70.77,2.4
130.6,71.53,2.1
132.57,72.1,2.4
132.15,71.71,1.9
122.78,72.32,2.6
131.53,71.37,1.8
133.7944,74.64399999999998,3.5
126.41,72.52,2.1
129.79,72.3,1.9
129.77,72.3,1.8
129.64,72.28,1.9
126.6,73.06,1.9
127.79,75.74,2.8
124.47,72.49,2.2
124.6821,72.7583,4.0
124.48,72.53,2.4
124.5,72.58,2.3
124.8,72.55,1.9
124.61,72.54,1.8
126.66,73.0,2.4
124.65,72.43,2.2
124.84,72.5,2.5
116.53,73.32,2.3
129.29,70.05,2.0
133.18,74.47,2.7
139.03,70.63,1.8
146.09,70.61,2.3
139.98,70.84,2.1
140.11,70.87,1.8
127.79,72.04,1.9
141.46,70.33,2.2
114.0561,74.4033,4.21
125.48,73.26,1.9
125.34,72.64,2.7
124.8,72.71,1.8
130.3,71.93,2.3
131.1,71.34,1.9
124.73,72.68,2.3
125.07,72.68,2.0
128.05,70.35,2.2
128.05,71.96,2.0
127.46,70.1,2.1
128.01,72.64,2.7
127.2,72.18,2.2
129.26,71.64,2.3
129.16,71.63,2.1
129.27,71.65,1.8
129.25,71.65,1.8
129.3,71.65,2.2
124.88,72.58,2.0
128.55,73.27,2.1
125.22,72.9,2.4
124.96,72.86,2.0
130.67,71.56,1.8
125.48,72.5,2.3
137.95,71.38,2.5
130.18,71.83,2.1
131.66,72.07,1.8
128.0,71.99,1.8
129.15,71.62,2.4
144.92,72.4,2.7
126.99,71.66,2.9
138.86,70.07,2.1
131.71,71.2,3.2
118.96,71.68,1.8
127.7396,71.9898,4.4
127.84,72.11,1.8
128.0057,70.7952,3.5
123.48,71.97,2.4
123.79,71.96,1.8
123.59,71.95,2.5
128.0839,71.9893,3.4
131.05,71.83,2.2
125.56,72.17,1.9
123.32,71.98,1.8
122.52,71.42,1.8
126.97,74.2,2.2
129.19,73.97,2.6
133.8758,72.1417,4.1
126.23,70.19,1.9
127.16,72.36,2.1
125.64,73.64,2.2
128.0,70.32,2.0
130.8,73.86,2.4
139.52,75.69,1.8
129.23,70.29,2.2
129.03,72.27,2.6
129.12,72.3,2.1
125.28,72.23,2.4
117.47,75.74,1.8
123.8181,79.40100000000002,4.6
124.08,72.15,1.8
130.69,71.77,2.2
127.45,72.22,2.0
127.54,72.26,2.3
123.75,72.31,2.2
123.68,72.23,1.9
132.02,71.82,3.0
139.76,70.53,2.3
129.99,70.13,2.1
136.73,71.28,3.7
131.53,71.01,2.4
131.52,74.94,2.8
128.01,70.1,2.4
126.43,70.17,2.4
132.49,71.1,2.0
123.61,73.98,3.7
130.82,71.49,3.2
134.4512,71.9804,4.4
133.43,71.61,2.7
133.87,71.87,2.3
135.27,70.22,1.8
129.85,74.07,2.2
125.39,73.05,1.8
125.59,73.07,1.9
125.48,73.11,2.2
125.26,72.97,2.7
125.62,73.04,1.9
127.98,70.15,2.4
140.2,70.95,2.9
124.81,72.84,2.2
125.4,73.04,1.8
125.61,73.0,2.2
128.33,70.14,1.9
143.77,73.73,2.2
126.37,71.89,2.4
130.44,71.01,2.7
128.59,70.45,1.9
135.19,73.32,1.9
134.22,74.83,2.4
139.89,70.67,2.1
123.36,72.52,2.0
134.1194,76.212,3.4
123.9058,79.4127,5.4
110.1978,75.493,4.8
138.4826,71.4671,4.3
136.1071,77.328,3.6
132.231,76.0592,3.7
