time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-06-08T04:59:05.250Z,72.675,124.016,61.5,4.7,mb,51,,,0.96,us,usp000ag8m,2014-11-07T01:13:00.514Z,"northwestern Sakha, Russia",earthquake,,13.3,,20,reviewed,us,us
2000-09-16T17:45:17.820Z,78.968,124.468,10,4.6,mb,42,,,1.19,us,usp000a0bb,2014-11-07T01:11:05.456Z,"east of Severnaya Zemlya",earthquake,,,,15,reviewed,us,us
2000-07-10T04:17:36.830Z,74.333,146.972,10,4.6,mb,81,,,1.08,us,usp0009w4m,2014-11-07T01:10:34.521Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,30,reviewed,us,us
2000-04-30T17:16:28.140Z,74.061,113.806,10,4,mb,,,,1.13,us,usp0009s4m,2014-11-07T01:09:58.023Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,6,reviewed,us,us
2000-01-16T15:22:50.510Z,79.808,122.943,10,4.5,mb,,,,1.2,us,usp0009m7z,2014-11-07T01:09:20.004Z,"east of Severnaya Zemlya",earthquake,,,,8,reviewed,us,us
2000-01-16T14:56:50.690Z,79.78,122.471,10,3.3,mb,,,,1.33,us,usp0009m7v,2014-11-07T01:09:19.965Z,"east of Severnaya Zemlya",earthquake,,,,1,reviewed,us,us
2000-01-16T12:29:12.630Z,79.802,123.076,10,4.5,mb,,,,1.01,us,usp0009m7q,2014-11-07T01:09:19.919Z,"east of Severnaya Zemlya",earthquake,,,,8,reviewed,us,us
2000-01-15T21:27:25.350Z,79.721,122.826,10,4.2,mb,,,,0.82,us,usp0009m6k,2014-11-07T01:09:19.811Z,"east of Severnaya Zemlya",earthquake,,,,4,reviewed,us,us
1999-12-02T20:20:52.910Z,75.989,134.144,10,4.3,mb,,,,1.08,us,usp0009jdm,2014-11-07T01:09:05.268Z,"Laptev Sea",earthquake,,,,9,reviewed,us,us
1999-10-27T05:05:07.180Z,79.221,124.397,10,4.8,mb,,,,0.98,us,usp0009gp6,2014-11-07T01:08:46.795Z,"east of Severnaya Zemlya",earthquake,,,,60,reviewed,us,us
